index,city,state,cases,date,fatalities,injured,total_victims,age_of_shooter,weapons_obtained_legally,latitude,longitude,year
39,Baton Rouge, Lousiana,Baton Rouge police shooting,7/17/2016,3,3,6,29,Unknown,30.433601,-91.081403,2016
40,Dallas, Texas,Dallas police shooting,7/7/2016,5,11,16,25,Yes,32.7801052,-96.8000082,2016
41,Orlando, Florida,Orlando nightclub massacre,6/12/2016,49,53,102,29,Yes,28.519718,-81.376777,2016
42,Hesston, Kansas,Excel Industries mass shooting,2/25/2016,3,14,17,38,Yes,38.135992,-97.425145,2016
43,Kalamazoo County, Michigan,Kalamazoo shooting spree,2/20/2016,6,2,8,45,Yes,42.236689,-85.674795,2016
44,San Bernardino, California,San Bernardino mass shooting,12/2/2015,14,21,35,28,"
Yes",34.075961,-117.27789,2015
45,Colorado Springs, Colorado,Planned Parenthood clinic,11/27/2015,3,9,12,57,Unknown,38.881031,-104.849057,2015
46,Colorado Springs, Colorado,Colorado Springs shooting rampage,10/31/2015,3,0,3,33,Yes,38.83755,-104.814251,2015
47,Roseburg, Oregon,Umpqua Community College shooting,10/1/2015,9,9,18,26,Yes,43.289538,-123.333193,2015
48,Chattanooga, Tennessee,Chattanooga military recruitment center,7/16/2015,5,2,7,24,Yes,35.047157,-85.311819,2015
49,Charleston, South Carolina,Charleston Church Shooting,6/17/2015,9,1,10,21,Yes,32.788387,-79.933143,2015
50,Menasha, Wisconsin,Trestle Trail bridge shooting,6/11/2015,3,1,4,27,Yes,44.204124,-88.467541,2015
51,Marysville, Washington,Marysville-Pilchuck High School shooting,10/24/2014,5,1,6,15,No,48.050824,-122.176918,2014
57,Santa Monica, California,Santa Monica rampage,6/7/2013,6,3,9,23,Yes ,34.008617,-118.494754,2013
52,Santa Barbara, California,Isla Vista mass murder,5/23/2014,6,13,19,22,Yes,34.436283,-119.8714406,2014
53,Fort Hood, Texas,Fort Hood shooting 2,4/3/2014,3,12,15,34,"
Yes",31.141716,-97.777559,2014
54,Alturas, California,Alturas tribal shooting,2/20/2014,4,2,6,44,Unknown,41.487104,-120.542237,2014
55,Washington, D.C.,Washington Navy Yard shooting,9/16/2013,12,8,20,34,Yes,38.874981,-76.99453,2013
56,Hialeah, Florida,Hialeah apartment shooting,7/26/2013,7,0,7,42,Yes,25.864338,-80.311775,2013
58,Federal Way, Washington,Pinewood Village Apartment shooting,4/21/2013,5,0,5,27,Yes,47.3129607,-122.3393665,2013
60,Newtown, Connecticut,Sandy Hook Elementary massacre,12/14/2012,27,2,29,20,No,41.4123225,-73.31142358,2012
61,Minneapolis, Minnesota,Accent Signage Systems shooting,9/27/2012,7,1,8,36,Yes,44.977425,-93.310408,2012
62,Oak Creek, Wisconsin,Sikh temple shooting,8/5/2012,7,3,10,40,Yes,42.8858503,-87.8631362,2012
63,Aurora, Colorado,Aurora theater shooting,7/20/2012,12,70,82,24,Yes,39.706038,-104.820594,2012
64,Seattle, Washington,Seattle cafe shooting,5/20/2012,6,1,7,40,Yes,47.6038321,-122.3300624,2012
71,Parkland, Washington,Coffee shop police killings,11/29/2009,4,1,5,37,No,47.15277,-122.467308,2009
65,Oakland, California,Oikos University killings,4/2/2012,7,3,10,43,Yes,37.8043808,-122.2708166,2012
66,Norcross, Georgia,Su Jung Health Sauna shooting,2/21/2012,5,0,5,59,Yes,33.9412127,-84.2135309,2012
67,Seal Beach, California,Seal Beach shooting,10/12/2011,8,1,9,42,Yes,33.741176,-118.1046356,2011
69,Tucson, Arizona,Tucson shooting,1/8/2011,6,13,19,22,Yes,32.335941,-110.975132,2011
72,Fort Hood, Texas,Fort Hood massacre,11/5/2009,13,31,44,39,Yes,31.135557,-97.783664,2009
73,Binghamton, New York,Binghamton shootings,4/3/2009,14,4,18,41,Yes,42.099802,-75.917723,2009
74,Carthage, North Carolina,Carthage nursing home shooting,3/29/2009,8,3,11,45,Yes,35.333434,-79.414592,2009
75,Henderson, Kentucky,Atlantis Plastics shooting,6/25/2008,6,1,7,25,Yes,37.76721,-87.5573742,2008
76,DeKalb, Illinois,Northern Illinois University shooting,2/14/2008,5,21,26,27,Yes,41.9294736,-88.7503647,2008
77,Kirkwood, Missouri,Kirkwood City Council shooting,2/7/2008,6,2,8,52,No,38.580093,-90.40691,2008
78,Omaha, Nebraska,Westroads Mall shooting,12/5/2007,9,4,13,19,No,41.265719,-96.067495,2007
79,Crandon, Wisconsin,Crandon shooting,10/7/2007,6,1,7,20,Yes,45.5719072,-88.9028922,2007
80,Blacksburg, Virginia,Virginia Tech massacre,4/16/2007,32,23,55,23,Yes,37.2295733,-80.4139393,2007
81,Salt Lake City, Utah,Trolley Square shooting,2/12/2007,6,4,10,18,Unknown,40.7606467,-111.89109,2007
82,Lancaster County, Pennsylvania,Amish school shooting,10/2/2006,6,5,11,32,Yes,39.9589,-76.0806,2006
83,Seattle, Washington,Capitol Hill massacre,3/25/2006,7,2,9,28,Yes,47.6229,-122.3165,2006
84,Goleta, California,Goleta postal shootings,1/30/2006,8,0,8,44,Yes,34.425571,-119.866069,2006
85,Red Lake, Minnesota,Red Lake massacre,3/21/2005,10,5,15,16,No,47.876346,-95.0169401,2005
87,Columbus, Ohio,Damageplan show shooting,12/8/2004,5,7,12,25,Yes,39.9622601,-83.0007065,2004
88,Meridian, Mississippi,Lockheed Martin shooting,7/8/2003,7,8,15,48,Yes,32.410842,-88.634539,2003
89,Melrose Park, Illinois,Navistar shooting,2/5/2001,5,4,9,66,Yes,41.908163,-87.879908,2001
90,Wakefield, Massachusetts,Wakefield massacre,12/26/2000,7,0,7,42,Yes,42.500429,-71.075913,2000
91,Tampa, Florida,Hotel shooting,12/30/1999,5,3,8,36,Yes,27.966479,-82.570586,1999
92,Honolulu, Hawaii,Xerox killings,11/2/1999,7,0,7,40,Yes,21.320063,-157.876462,1999
93,Fort Worth, Texas,Wedgwood Baptist Church shooting,9/15/1999,8,7,15,47,Yes,32.664511,-97.384246,1999
94,Atlanta, Georgia,Atlanta day trading spree killings,7/29/1999,9,13,22,44,Yes,33.850116,-84.377839,1999
95,Littleton, Colorado,Columbine High School massacre,4/20/1999,13,24,37,17,No,39.604034,-105.074103,1999
96,Springfield, Oregon,Thurston High School shooting,5/21/1998,4,25,29,15,No,44.0462362,-123.0220289,1998
97,Jonesboro, Arkansas,Westside Middle School killings,3/24/1998,5,10,15,11,No,35.8209895,-90.6682606,1998
98,Newington, Connecticut,Connecticut Lottery shooting,3/6/1998,5,1,6,35,Yes,41.6856325,-72.72983827,1998
99,Orange, California,Caltrans maintenance yard shooting,12/18/1997,5,2,7,41,Yes,33.7877944,-117.8531119,1997
100,Aiken, South Carolina,R.E. Phelon Company shooting,9/15/1997,4,3,7,43,No,33.5598586,-81.721952,1997
101,Fort Lauderdale, Florida,Fort Lauderdale revenge shooting,2/9/1996,6,1,7,41,Yes,26.119269,-80.104119,1996
102,Corpus Christi, Texas,Walter Rossler Company massacre,4/3/1995,6,0,6,28,Yes,27.828025,-97.548198,1995
103,Fairchild Air Force Base, Washington,Air Force base shooting,6/20/1994,5,23,28,20,Yes,47.61864486,-117.6483587,1994
110,Royal Oak, Michigan,Royal Oak postal shootings,11/14/1991,5,5,10,31,Yes,42.4894801,-83.1446485,1991
104,Aurora, Colorado,Chuck E. Cheese's killings,12/14/1993,4,1,5,19,Unknown,39.675599,-104.844845,1993
105,Garden City, New York,Long Island Rail Road massacre,12/7/1993,6,19,25,35,Yes,40.7267682,-73.6342955,1993
106,Fayetteville, North Carolina,Luigi's shooting,8/6/1993,4,8,12,22,Yes,35.0529931,-78.8787058,1993
107,San Francisco, California,101 California Street shootings,7/1/1993,9,6,15,55,No,37.792968,-122.397973,1993
108,Watkins Glen, New York,Watkins Glen killings,10/15/1992,5,0,5,50,Yes,42.3810555,-76.8705777,1992
109,Olivehurst, California,Lindhurst High School shooting,5/1/1992,4,10,14,20,Yes,39.07868761,-121.5475762,1992
111,Iowa City, Iowa,University of Iowa shooting,11/1/1991,6,1,7,28,Yes,41.6606893,-91.5302214,1991
113,Jacksonville, Florida,GMAC massacre,6/18/1990,10,4,14,42,Yes,30.3321838,-81.655651,1990
114,Louisville, Kentucky,Standard Gravure shooting,9/14/1989,9,12,21,47,Yes,38.2542376,-85.759407,1989
115,Stockton, California,Stockton schoolyard shooting,1/17/1989,6,29,35,26,Yes,37.9577016,-121.2907796,1989
121,Miami, Florida,Welding shop shooting,8/20/1982,8,3,11,51,Yes,25.796491,-80.226683,1982
116,Sunnyvale, California,ESL shooting,2/16/1988,7,4,11,39,Yes,37.3688301,-122.0363496,1988
117,Palm Bay, Florida,Shopping centers spree killings,4/23/1987,6,14,20,59,Yes,28.0331886,-80.6429695,1987
118,Edmond, Oklahoma,United States Postal Service shooting,8/20/1986,15,6,21,44,Yes,35.6672015,-97.42937037,1986
120,Dallas, Texas,Dallas nightclub shooting,6/29/1984,6,1,7,39,No,32.925166,-96.838676,1984
